! solver  ss/ns  timestep  coupled  nonlin  norm  change
       1       0       8       1      16   855.14267      0.67187150E-05
       1       0       8       1      17   855.13824      0.51846174E-05
       1       0       8       1      18   855.13482      0.39968032E-05
       1       0       8       1      19   855.13219      0.30783910E-05
       1       0       8       1      20   855.13016      0.23690131E-05
       1       0       8       1      21   855.12860      0.18216224E-05
       1       0       8       1      22   855.12741      0.13995860E-05
       1       0       8       1      23   855.12649      0.10745117E-05
       1       0       8       1      24   855.12578      0.82437408E-06
       1       0       9       1       2   854.91818      0.24280923E-03
       1       0       9       1       3   854.76955      0.17386639E-03
       1       0       9       1       4   854.65980      0.12840633E-03
       1       0       9       1       5   854.57713      0.96731733E-04
       1       0       9       1       6   854.51405      0.73811188E-04
       1       0       9       1       7   854.46558      0.56729340E-04
       1       0       9       1       8   854.42818      0.43773248E-04
       1       0       9       1       9   854.39925      0.33856739E-04
       1       0       9       1      10   854.37687      0.26196851E-04
       1       0       9       1      11   854.35955      0.20268545E-04
       1       0       9       1      12   854.34616      0.15674678E-04
       1       0       9       1      13   854.33581      0.12115804E-04
       1       0       9       1      14   854.32781      0.93565576E-05
       1       0       9       1      15   854.32165      0.72168198E-05
       1       0       9       1      16   854.31690      0.55605206E-05
       1       0       9       1      17   854.31324      0.42792641E-05
       1       0       9       1      18   854.31043      0.32896826E-05
       1       0       9       1      19   854.30827      0.25262878E-05
       1       0       9       1      20   854.30662      0.19380829E-05
       1       0       9       1      21   854.30535      0.14855299E-05
       1       0       9       1      22   854.30438      0.11376109E-05
       1       0       9       1      23   854.30363      0.87045043E-06
       1       0      10       1       2   854.12463      0.20955471E-03
       1       0      10       1       3   853.99586      0.15077206E-03
       1       0      10       1       4   853.90044      0.11173289E-03
       1       0      10       1       5   853.82841      0.84364592E-04
       1       0      10       1       6   853.77346      0.64361517E-04
       1       0      10       1       7   853.73125      0.49441290E-04
       1       0      10       1       8   853.69871      0.38106841E-04
       1       0      10       1       9   853.67360      0.29421360E-04
       1       0      10       1      10   853.65420      0.22722213E-04
       1       0      10       1      11   853.63923      0.17541749E-04
       1       0      10       1      12   853.62767      0.13531552E-04
       1       0      10       1      13   853.61877      0.10426156E-04
       1       0      10       1      14   853.61192      0.80251293E-05
       1       0      10       1      15   853.60666      0.61707553E-05
       1       0      10       1      16   853.60261      0.47394052E-05
       1       0      10       1      17   853.59951      0.36366766E-05
       1       0      10       1      18   853.59713      0.27871588E-05
       1       0      10       1      19   853.59531      0.21338478E-05
       1       0      10       1      20   853.59391      0.16321233E-05
