path,title,molar_mass,molar_volume,formation_gibbs,formation_enthalpy,reference_entropy,reference_spec_heat,coef_a,coef_b,coef_c,track
/species/friedelsalt,Ca4Al2Cl2O6:10H2O,561.329,276.24,-6815483.0,-7670042.0,527.851,692.86,692.86,0.0,0.0,"97tay,10bbla/bou,Internal calculation"
/species/c4ah13,Ca4Al2O7:13H2O,560.47,269.2,-7337672.0,-8318000.0,685.285,798.9,798.9,0.0,0.0,"92wol,10bbla/bou,76hou/ste,Internal calculation"
/species/monosulfoaluminate,Ca4Al2SO10:12H2O,622.518,311.26,-7781948.0,-8763677.0,787.111,942.42,594.18,1168.0,0.0,"97tay,10bbla/bou,Internal calculation,79ede/sat"
/species/hydroxichlorideca13h2o,Ca4Cl2(OH)6:13H2O,567.459,nan,-6587014.0,-7665000.0,813.681,nan,nan,nan,nan,"84har/mol,82wag/eva,Internal calculation"
/species/c4fh13,Ca4Fe2O7:13H2O,618.2,274.4,-6443634.0,-7417395.0,705.35,787.08,494.34,981.86,0.0,"97tay,Internal calculation,85bab/mat,10bbla/bou"
/species/monosulfatefe,Ca4Fe2SO10:12H2O,680.249,316.06,-6879299.0,-7846672.0,833.3,982.61,982.61,0.0,0.0,"97tay,10bbla/bou,Internal calculation"
/species/ca4hpo4325h2o,Ca4H(PO4)3:2.5H2O,491.272,nan,-6148121.0,nan,nan,nan,nan,nan,nan,84nan
/species/ca4hpo433h2o,Ca4H(PO4)3:3H2O,500.28,nan,-6276368.0,nan,nan,nan,nan,nan,nan,NIST46.4
/species/hilgenstockite,Ca4O(PO4)2,366.254,nan,-4588000.0,nan,nan,nan,nan,nan,nan,84vie/tar|after 71bduf
/species/foshagite,Ca4Si3O9(OH)2:0.5H2O,431.585,160.66,-5643923.0,-6032430.0,295.375,309.38,309.38,0.0,0.0,"63wyc,10abla/bou,56new,Internal calculation"
/species/ca5aso43oh,Ca5(AsO4)3OH,634.155,nan,-5080225.0,nan,nan,nan,nan,nan,nan,99bot/bro
