Al,Mg,Si,Zn,liquidus,eq_liquidus
0.26,0.09,0.04,,901.2358584313248,"{'LIQUID#1': 1.0, 'MG2SI#1': 1.269403181481937e-16}"
0.26,0.09,0.05,,908.2668013717299,"{'LIQUID#1': 1.0, 'MG2SI#1': 2.075664985297252e-15}"
0.26,0.09,0.06,,912.4640235923551,"{'LIQUID#1': 1.0, 'MG2SI#1': 4.390226667562113e-15}"
0.26,0.09,0.07,,914.6828677160361,"{'LIQUID#1': 0.9999999999999999, 'MG2SI#1': 5.1943509596400786e-17}"
0.26,0.09,0.08,,915.4450682805325,"{'LIQUID#1': 1.0, 'MG2SI#1': 1.5597590272344265e-15}"
0.26,0.09,0.09,,915.0926477517602,{'LIQUID#1': 1.0}
0.27,0.01,0.01,,765.9461369045478,{'LIQUID#1': 1.0}
0.27,0.01,0.02,,797.5428514642858,"{'DIAMOND_A4#1': 4.07076178126261e-16, 'LIQUID#1': 1.0}"
0.27,0.01,0.03,,845.9030524244356,"{'DIAMOND_A4#1': 6.853239888888201e-17, 'LIQUID#1': 1.0}"
0.27,0.01,0.04,,883.6505355050397,"{'DIAMOND_A4#1': 4.995519344720115e-16, 'LIQUID#1': 1.0000000000000002}"
0.27,0.01,0.05,,915.1279007208568,{'LIQUID#1': 0.9999999999999999}
0.27,0.01,0.06,,942.4055515284912,{'LIQUID#1': 1.0}
0.27,0.01,0.07,,966.6480486683605,{'LIQUID#1': 1.0}
0.27,0.01,0.08,,988.5814876554065,{'LIQUID#1': 0.9999999999999999}
0.27,0.01,0.09,,1008.6917757823966,"{'DIAMOND_A4#1': 4.96382140784816e-16, 'LIQUID#1': 1.0}"
0.27,0.02,0.01,,765.5269965832856,{'LIQUID#1': 1.0}
0.27,0.02,0.02,,782.1411342545069,"{'DIAMOND_A4#1': 4.2034202385805193e-16, 'LIQUID#1': 1.0}"
0.27,0.02,0.03,,830.2393076189147,{'LIQUID#1': 1.0000000000000002}
0.27,0.02,0.04,,867.9437500476951,{'LIQUID#1': 1.0}
0.27,0.02,0.05,,899.501236052403,{'LIQUID#1': 1.0}
0.27,0.02,0.06,,926.9354916513017,"{'DIAMOND_A4#1': 6.534233023879595e-17, 'LIQUID#1': 0.9999999999999998}"
0.27,0.02,0.07,,951.3843174791796,"{'DIAMOND_A4#1': 3.342813182893178e-16, 'LIQUID#1': 1.0}"
0.27,0.02,0.08,,973.5568778430155,"{'DIAMOND_A4#1': 6.464901111751631e-16, 'LIQUID#1': 1.0}"
0.27,0.02,0.09,,993.927649506413,"{'DIAMOND_A4#1': 5.389788644787353e-16, 'LIQUID#1': 1.0}"
0.27,0.03,0.01,,764.2886614311292,{'LIQUID#1': 1.0}
0.27,0.03,0.02,,766.514042111254,"{'DIAMOND_A4#1': 4.533669527734438e-16, 'LIQUID#1': 1.0}"
0.27,0.03,0.03,,814.3158686871211,{'LIQUID#1': 1.0}
0.27,0.03,0.04,,851.951702078644,"{'DIAMOND_A4#1': 3.7834171178704427e-16, 'LIQUID#1': 1.0}"
0.27,0.03,0.05,,883.5702279057615,{'LIQUID#1': 1.0}
0.27,0.03,0.06,,911.1472339080761,"{'DIAMOND_A4#1': 5.03899526023604e-16, 'LIQUID#1': 1.0}"
0.27,0.03,0.07,,935.7929285844302,{'LIQUID#1': 1.0}
0.27,0.03,0.08,,958.198930403723,"{'DIAMOND_A4#1': 4.457762670242938e-16, 'LIQUID#1': 1.0}"
0.27,0.03,0.09,,978.8277996997285,{'LIQUID#1': 1.0}
0.27,0.04,0.01,,762.312775620023,{'LIQUID#1': 1.0}
0.27,0.04,0.02,,760.2914506924822,{'LIQUID#1': 1.0}
0.27,0.04,0.03,,798.1747398371351,{'LIQUID#1': 1.0000000000000002}
0.27,0.04,0.04,,835.7147253649764,{'LIQUID#1': 1.0}
0.27,0.04,0.05,,867.372932670046,"{'DIAMOND_A4#1': 1.1066441359208638e-15, 'LIQUID#1': 1.0}"
0.27,0.04,0.06,,895.076184134127,{'LIQUID#1': 1.0}
0.27,0.04,0.07,,919.9064008887071,{'LIQUID#1': 1.0000000000000002}
0.27,0.04,0.08,,942.5371364156673,"{'DIAMOND_A4#1': 1.195979447871114e-15, 'LIQUID#1': 1.0}"
0.27,0.04,0.09,,963.4186155604391,"{'DIAMOND_A4#1': 1.699368637124005e-16, 'LIQUID#1': 1.0}"
0.27,0.05,0.01,,759.6788786762468,{'LIQUID#1': 1.0}
0.27,0.05,0.02,,789.527814019819,{'LIQUID#1': 1.0}
0.27,0.05,0.03,,804.0434511831714,{'LIQUID#1': 0.9999999999999999}
0.27,0.05,0.04,,819.2710168338734,"{'DIAMOND_A4#1': 5.114292633452474e-16, 'LIQUID#1': 1.0}"
0.27,0.05,0.05,,850.9456766428331,"{'DIAMOND_A4#1': 1.4457881432118224e-15, 'LIQUID#1': 1.0}"
0.27,0.05,0.06,,878.7564017150188,{'LIQUID#1': 0.9999999999999998}
0.27,0.05,0.07,,903.7562718697487,"{'DIAMOND_A4#1': 5.733383090498526e-17, 'LIQUID#1': 1.0}"
0.27,0.05,0.08,,926.6003466049486,{'LIQUID#1': 1.0}
0.27,0.05,0.09,,947.7261627144503,"{'DIAMOND_A4#1': 2.0964289240767836e-16, 'LIQUID#1': 1.0}"
0.27,0.06,0.01,,781.609021448423,"{'LIQUID#1': 1.0, 'MG2SI#1': 2.2991041702665343e-16}"
0.27,0.06,0.02,,813.9205171214519,{'LIQUID#1': 0.9999999999999998}
0.27,0.06,0.03,,829.7793712776256,"{'LIQUID#1': 1.0, 'MG2SI#1': 9.27438508803841e-17}"
0.27,0.06,0.04,,838.5404358860835,"{'LIQUID#1': 1.0, 'MG2SI#1': 9.021727680684742e-16}"
0.27,0.06,0.05,,843.3043773689882,{'LIQUID#1': 1.0}
0.27,0.06,0.06,,862.2205672684923,{'LIQUID#1': 1.0}
0.27,0.06,0.07,,887.3730429019973,{'LIQUID#1': 0.9999999999999998}
0.27,0.06,0.08,,910.4166976788337,{'LIQUID#1': 0.9999999999999999}
0.27,0.06,0.09,,931.7760905957175,{'LIQUID#1': 1.0}
0.27,0.07,0.01,,800.631459674994,"{'LIQUID#1': 1.0, 'MG2SI#1': 4.0767102372660533e-16}"
0.27,0.07,0.02,,834.679535404753,{'LIQUID#1': 1.0}
0.27,0.07,0.03,,851.7641591072976,{'LIQUID#1': 1.0}
0.27,0.07,0.04,,861.5163701789628,{'LIQUID#1': 1.0}
